order_id,product,category,price,quantity,total,date,email,payment_method,has_anomaly,anomaly_types,anomaly_flags,anomaly_severity,anomaly_score,empty_count,severity_weight,anomaly,anomaly_method,anomaly_confidence
,,electronics,,0.0,6330.43,,invalidemail,,True,order_id_null|product_null|price_null|date_null|payment_method_null|quantity_zero|email_invalid_format|order_id_missing|order_no_items|,11,high,46.15384615384615,5,50,-1,ensemble,1
ORD1025,Phone,Electronics,,0.0,,,user@.com,credt_card,True,price_null|total_null|date_null|quantity_zero|email_invalid_format|order_no_items|,7,high,38.46153846153846,3,50,-1,ensemble,1
,,furnitur,,20.0,5815.11,,invalidemail,credit,True,order_id_null|product_null|price_null|date_null|email_invalid_format|order_id_missing|,7,high,38.46153846153846,4,50,-1,ensemble,1
,,food,,80.0,6376.79,,,credit,True,order_id_null|product_null|price_null|date_null|email_null|order_id_missing|quantity_statistical_outlier|,8,high,40.38461538461539,5,50,-1,ensemble,1
ORD_DUP,Chair,electronics,,0.0,4126.09,,invalidemail,credit,True,price_null|date_null|quantity_zero|email_invalid_format|order_no_items|product_category_mismatch|same_order_different_totals|duplicate_order_id|,11,high,46.15384615384615,2,50,-1,ensemble,1
ORD1029,Chair,food,2740.47,0.0,5334.1,,invalidemail,credit,True,date_null|quantity_zero|email_invalid_format|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,1,50,-1,ensemble,1
,,electronics,,0.0,9571.53,,user@.com,credt_card,True,order_id_null|product_null|price_null|date_null|quantity_zero|email_invalid_format|order_id_missing|order_no_items|,10,high,44.23076923076923,4,50,-1,ensemble,1
ORD_DUP,,furnitur,,0.0,,,valid@email.com,paypal,True,product_null|price_null|total_null|date_null|quantity_zero|order_no_items|same_order_different_totals|duplicate_order_id|,10,high,44.23076923076923,4,50,-1,ensemble,1
ORD_DUP,Shirt,food,,0.0,,,,paypal,True,price_null|total_null|date_null|email_null|quantity_zero|order_no_items|product_category_mismatch|same_order_different_totals|duplicate_order_id|,12,high,48.07692307692308,4,50,-1,ensemble,1
ORD_DUP,,fashion,,46.0,,,,credit,True,product_null|price_null|total_null|date_null|email_null|same_order_different_totals|duplicate_order_id|quantity_statistical_outlier|,9,high,42.30769230769231,5,50,-1,ensemble,1
,Chair,fashion,4359.04,0.0,8974.1,,,credit,True,order_id_null|date_null|email_null|quantity_zero|order_id_missing|total_price_mismatch|order_no_items|product_category_mismatch|,13,high,50.0,3,50,-1,ensemble,1
ORD_DUP,Bread,electronics,,0.0,,,,credt_card,True,price_null|total_null|date_null|email_null|quantity_zero|order_no_items|product_category_mismatch|same_order_different_totals|duplicate_order_id|,12,high,48.07692307692308,4,50,-1,ensemble,1
ORD1036,Phone,fashion,,0.0,,,invalidemail,credt_card,True,price_null|total_null|date_null|quantity_zero|email_invalid_format|order_no_items|product_category_mismatch|,9,high,42.30769230769231,3,50,-1,ensemble,1
ORD_DUP,Shirt,furnitur,4099.94,12.0,2162.94,,,credt_card,True,date_null|email_null|total_price_mismatch|product_category_mismatch|same_order_different_totals|duplicate_order_id|,10,high,44.23076923076923,2,50,-1,ensemble,1
,,furnitur,,0.0,4876.18,,,credit,True,order_id_null|product_null|price_null|date_null|email_null|quantity_zero|order_id_missing|order_no_items|,10,high,44.23076923076923,5,50,-1,ensemble,1
ORD1039,Shirt,electronics,,0.0,8687.85,2024-11-03,user@.com,cash,True,price_null|quantity_zero|email_invalid_format|order_no_items|product_category_mismatch|,7,high,38.46153846153846,1,50,-1,ensemble,1
ORD_DUP,Phone,Electronics,4790.64,0.0,,,valid@email.com,,True,total_null|date_null|payment_method_null|quantity_zero|order_no_items|same_order_different_totals|duplicate_order_id|,9,high,42.30769230769231,3,50,-1,ensemble,2
ORD_DUP,,electronics,,82.0,6376.73,,valid@email.com,credit,True,product_null|price_null|date_null|same_order_different_totals|duplicate_order_id|quantity_statistical_outlier|,7,high,38.46153846153846,3,50,-1,ensemble,2
ORD1042,Phone,food,,0.0,9235.1,,,,True,price_null|date_null|email_null|payment_method_null|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,4,50,-1,ensemble,1
,Bread,furnitur,,83.0,6335.43,,user@.com,credit,True,order_id_null|price_null|date_null|email_invalid_format|order_id_missing|product_category_mismatch|quantity_statistical_outlier|,9,high,42.30769230769231,3,50,-1,ensemble,1
,Shirt,electronics,,0.0,5687.32,,,credt_card,True,order_id_null|price_null|date_null|email_null|quantity_zero|order_id_missing|order_no_items|product_category_mismatch|,11,high,46.15384615384615,4,50,-1,ensemble,1
,Phone,food,,0.0,8850.24,,,,True,order_id_null|price_null|date_null|email_null|payment_method_null|quantity_zero|order_id_missing|order_no_items|product_category_mismatch|,12,high,48.07692307692308,5,50,-1,ensemble,1
,Shirt,food,3651.83,16.0,,,invalidemail,cash,True,order_id_null|total_null|date_null|email_invalid_format|order_id_missing|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,2
ORD1047,Laptop,furnitur,1835.88,0.0,3097.95,,,credit,True,date_null|email_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,2,50,-1,ensemble,1
