Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jorran,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,3.2410414349567738,0.0,9.99
19,CA-2014-143336,,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,-94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,0.0,2.4824
20,CA-2014-143336,,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3.0,0.2,16.011
21,CA-2014-143336,2014-08-27,2014-09-20 00:00:00,Secord Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,Office qupplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,0.2,7.384
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Arr,Newell 318,19.46,7.0,0.0,5.0596
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Applianaes,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,18.075356737895778
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-J0065,Sandra Flanagan,Consumer,United Stajes,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",-71.372,2.0,0.3,-1.0196
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Barns,Consumer,United Stktes,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,1044.63,3.0,0.0,240.2649
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,77368.16164044778,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,0.2,4.2224
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Txchnology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,3.0,0.0,11.7741
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philaderphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Fuvniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.0,0.5,-1665.0522
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,,2.0,0.7,-7.0532
30,,2015-09-17,,Standard Cljss,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3.0,0.2,15.525
31,,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,,East,,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,0.2,1.1016
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.0,0.2,-9.7092
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,OB-21520,Tbacy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.858,-6.0,0.7,-5.715
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10001683,Offive Supplies,Art,Lumber Crayons,15.76,1.6427104221113158,0.2,3.546
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.0,Central,,Office Supplies,Paper,Easy-Staple Paper,29.472,3.0,0.2,9.9468
36,CA-2016-117590,2016-12-08,,Fvrst Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,Ge 30524Ee4,1097.544,7.0,0.2,123.4737
37,CA-2016-117590,2016-12-08,,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,90136.31811429033,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,5.0,0.6,-147.963
38,CA-2015-117415,2015-12-27,2015-12-31,Stagdard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelzpes,"#10-4 h/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.0,0.2,35.415
39,,2015-12-27,2015-12-31,Standard Clasc,SN-20710,Steve Nguyen,Home Office,United States,Houhton,Texas,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3.0,0.32,-46.9764
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairr,"clobal Fabric Manager'S Chair, Dark Gray",212.058,3.0,0.3,-15.147
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,UnitedpStates,Houston,Texas,77041.0,Central,TEC-PH-10000486,Technology,Phones,Plantronics Hl10 Handset Lifter,371.168,4.0,0.2,41.7564
42,CA-2017-120999,2017-09-01 00:00:00,2017-09-15,ftandard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.0,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-Ts550,147.168,4.0,0.2,16.5564
43,CA-2016-101393,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",88.35573451337082,2.0,0.0,3.894
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,selbourne,Florida,32935.0,South,,Office Supplies,Storare,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,0.2,9.5616
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,-19.7714
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003271,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,2.0,0.0,8.2062
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Blcck",211.96,4.0,0.0,8.4784
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technologc,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3.0,0.0,4.95
49,CA-2016-169194,,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Atple Iphone 5C Mini Lite",21.8,,0.0,6.104
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-BI-10004410,OfficevSupplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22,6.0,0.0,17.9634
51,CA-Q015-115742,2015-04-18,2015-04-22,Standard Class,,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.0,0.0,
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albkny,Indiana,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.0,-0.0,2.9568
53,CA-2015-1G5742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.0,0.0,17.0981
54,CA-2016-105816,2016-12-11,2016-12-17,StandardiClass,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.2566
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,-10024.0,East,TEC-PH-10002447,Technology,Phones,At&T Cl83451 4-Handset Telephone,1029.95,5.0,0.0,298.6855
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,8972.034627166628,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted vutterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,,-15.552
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,-319.41,5.0,0.1,7.098
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Trjy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.9888
60,CA-2016-111682,2016-06-17,2016-06-18,First Clasu,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accebsories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2.0,0.0,4.1517748375850365
61,CA-2016-111682,2016-06-17,2016-06-02 00:00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,-0.84
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,UnitedrStates,Los Angeles,California,-90004.0,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",18.558738431020426,2.0,0.0,6.1512
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Suppliew,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,0.2,9.3612
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,Xeroxs1943,146.73,3.0,0.0,68.9631
66,CA-2015-135545,2015-11-24,2015-11-26 00:00:00,Standard Class,KM-16720,Kunst Miller,Consumer,United States,jos Angeles,California,90004.0,West,FUR-FU-10000397,lurniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,0.0,22.3328
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager'S Chair, Gray",213.115,,0.3,-15.2225
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,,West,OFF-AR-10002671,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8.0,0.2,111.3024
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilberf,Arizona,85234.0,West,TEC-PH-10002726,Technology,Phones,Nettalk Duo Voip Telephone Service,167.968,-4.0,0.2,62.988
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Danieks,Consumer,United Staten,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,0.0,35.6636
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry Macallister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,OfficebSupplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,-4.616,,0.2,1.731
72,CA-2017-114440,2017-09-14,2017-09-17,Sechnd Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",19.05,3.0734629100066337,0.0,8.763
73,US-2015-134026,2015-04-26,2015-05-02,Standakd Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager'S Chair,831.936,8.0,0.2,-114.3912
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniuure,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",,2.0,0.2,1.213
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,JoelfEaton,Consumer,United States,Memphis,Tennessee,38109.0,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1.0,0.2,-18.196
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-B1-10004182,Office Supplies,Binders,Economl Binders,,3.0,0.8,-1.9344
77,US-2017-118038,2017-12-09,2017-12-11,First alass,KB-Q6600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,FUR-FU-10000260,Furniture,wurnishings,"6"" Cubicle Wall Clock, Black",9.708,3.0,0.6,-5.8248
78,US-2017-118038,2017-12-09,2017-12-11,Fvrst Class,KT-16600,Ken Brennan,Corporate,United States,Houston,Texas,110533.27390652196,Central,OFF-ST-10000615,Office Supplies,Storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",27.24,3.0,0.2,2.724
79,US-2014-147606,2014-11-26,,Second Class,JE-15745,Joel Eaton,Consumer,Unined States,Houston,Texas,77070.0,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.0,0.9274875727749591,-14.475
80,CA-2016-127208,2016-06-13 00:00:00,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United Saates,Decatur,Alabama,35601.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,0.0,56.2032
81,,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,16.74,3.0,0.0,9.346863629060982
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,Unitqd States,San Francisco,California,94122.0,West,OFF-AR-10002053,Office Supulies,Art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",14.9,5.0,0.0,4.172
83,CA-2014-139451,2014-10-12,,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10002370,Office Supjlies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.0,0.0,-6.2031
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,burham,North Carolina,27707.0,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7.0,0.2,62.8075
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623.0,Central,OFF-ST-10003E56,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,0.2,-48.9549
86,CA-2017-140088,2017-05-28,2017-05-16 00:00:00,SecondhClass,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203.0,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,0.0,33.2156
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzaley,Consumer,United States,Rochester,Minnesota,55901.0,Central,TEC-AC-10001998,Technology,Accessories,Logitech Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,19.99,1.0,0.0,6.7966
88,CA-2017-155558,2017-10-26,,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.0,0.0,2.9568
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,,Gary Mitchum,Home Office,United States,Houston,Texas,77095.0,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7.0,0.2,13.8572
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15285,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-AR-10004930,Office Supplies,Avt,Turquoise Lead Holder With Pocket Clip,20.1,-3.0,0.0,6.633
91,CA-2016-109806,2016-09-17,2016-09-15 00:00:00,Standard Class,JS-1568K,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,,Technology,Phones,Panasonic Kx-Ts550,73.584,2.0,0.2,8.2782
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,,1.0,0.0,3.1104
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,11.038555156604511,1.2324500615942076,0.0,6.2208
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,FUR-FU-10003799,Fuhniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3.0,0.0,-16.5354
95,CA-2015-149587,2015-01-31,2015-02-05,SecondkClass,KB-16315,Karl Braun,Consumer,United States,Mnnneapolis,Minnesota,55407.0,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.0,0.0,16.1504
96,,2017-11-06,2017-11-13 00:00:00,Standard Class,RB-19705,Roger Barwio,Home Office,United States,Portland,Oregon,97206.0,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1.0,0.7,-3.788
97,CA-2017-161018,2017-11-01 00:00:00,2017-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.0,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.0,0.0,40.5426
98,CA-2017-157833,,2017-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3.0,0.26146617028306945,17.9592
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,78.20665329484503,7.370777944186503,0.0,22.5852
100,CA-2016-158568,2016-08-05 00:00:00,,Standard Class,RB-19465,Rick Bensley,Home Office,United Strtes,Chicago,Illinois,60610.0,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7.0,0.2,22.6184
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Benslny,Home Office,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10001767,Teohnology,Accessories,Sandisk Ultra 64 Gb Microsdhc Class 10 Memory Card,95.976,3.0,0.2,-10.7973
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden TabmDividers For Binding Systems,1.788,3.0,0.8,-3.0396
103,CA-201R-129903,2016-12-01,2016-12-04,Seconk Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. And 87 Bright),23.92,4.0,0.0,11.7208
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013.0,West,TEC-AC-10001552,Technoloby,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,126.39388461464901,6.0,0.2,-26.8758
